"Bevolkingsontwikkeling; regio per maand"
""
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Boekel";"Bevolking aan het einde van de periode";"aantal";"9372";"9396";"9412";"9407";"9503";"9646";"9692";"9772";"9865";"9967";"10062";"10089";"10119";"10254";"10414";"10502";"10588";"10785";"10959";"11030";"11163";"11293";"11465"
"Ten Boer";"Bevolking aan het einde van de periode";"aantal";"7354";"7171";"7199";"7164";"7246";"7276";"7447";"7427";"7454";"7477";"7500";"7479";"7452";"7352";"7288";"7292";"7289";"";"";"";"";"";""
"Bolsward";"Bevolking aan het einde van de periode";"aantal";"9446";"9388";"9412";"9503";"9599";"9730";"9823";"9905";"9974";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Borculo";"Bevolking aan het einde van de periode";"aantal";"10417";"10395";"10339";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Borger-Odoorn";"Bevolking aan het einde van de periode";"aantal";"26440";"26360";"26327";"26303";"26297";"26201";"26151";"26072";"25941";"25859";"25662";"25627";"25502";"25371";"25355";"25351";"25372";"25559";"25598";"25681";"25919";"26014";"26049"
"Borne";"Bevolking aan het einde van de periode";"aantal";"20651";"20600";"20503";"20547";"20521";"20764";"21106";"21330";"21557";"21586";"21770";"21884";"21992";"22343";"22795";"23124";"23210";"23312";"23668";"24007";"24524";"24639";"24741"
"Borsele";"Bevolking aan het einde van de periode";"aantal";"22351";"22318";"22397";"22415";"22387";"22531";"22551";"22618";"22707";"22676";"22683";"22579";"22568";"22612";"22688";"22716";"22800";"22739";"22818";"22847";"23159";"23121";"23125"
"Boskoop";"Bevolking aan het einde van de periode";"aantal";"15228";"15225";"15299";"15311";"15223";"15217";"15133";"15090";"15045";"15087";"15195";"15177";"";"";"";"";"";"";"";"";"";"";""
"Boxmeer";"Bevolking aan het einde van de periode";"aantal";"29352";"29395";"29158";"28950";"28726";"28635";"28609";"28575";"28582";"28397";"28227";"28147";"28342";"28465";"28709";"28853";"29065";"29365";"29609";"29721";"";"";""
"Boxtel";"Bevolking aan het einde van de periode";"aantal";"29513";"29512";"29520";"29676";"30001";"30241";"30281";"30276";"30280";"30284";"30436";"30320";"30337";"30406";"30655";"30672";"30747";"30801";"30824";"33129";"33748";"33979";"34241"
"Breda";"Bevolking aan het einde van de periode";"aantal";"164397";"166035";"168054";"169709";"170349";"170960";"171916";"173299";"174599";"176401";"178140";"179623";"180937";"181611";"182304";"183448";"183873";"184069";"184126";"184702";"186438";"188078";"188779"
