"Bevolkingsontwikkeling; regio per maand";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Perioden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regio's;Onderwerp;;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2023;2024;2025 januari*;2025 februari*;2025 maart*;2025 april *;2025 mei*;2025 juni*;2025 juli*;2025 augustus*;2025 september*;2025 oktober*
Bergen (L.);Bevolking aan het einde van de periode;aantal;13463;13477;13576;13612;13561;13499;13402;13391;13350;13286;13275;13237;13152;13090;13095;13106;13140;13085;13108;13106;13154;13062;13065;13077;13088;13061;13067;13094;13092;13086;13096;13061
Bergen (NH.);Bevolking aan het einde van de periode;aantal;31742;31738;31694;31505;31332;31220;31154;30985;30868;30682;30333;30076;30005;29943;29844;29941;29974;29839;29715;29723;29932;29722;29712;29682;29658;29673;29686;29692;29712;29657;29620;29641
Bergen op Zoom;Bevolking aan het einde van de periode;aantal;66024;66140;66298;65767;65440;65242;65582;65845;66074;66130;66287;66419;66320;66237;66164;66354;66811;67496;67514;67894;69694;70194;70209;70246;70237;70289;70360;70438;70527;70570;70624;70663
Bergh;Bevolking aan het einde van de periode;aantal;18416;18390;18416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bergschenhoek;Bevolking aan het einde van de periode;aantal;15185;15870;16181;16606;16694;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkel en Rodenrijs;Bevolking aan het einde van de periode;aantal;17212;17535;18083;19184;20856;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berkelland;Bevolking aan het einde van de periode;aantal;;;;45294;45213;45150;45142;44978;44863;44911;44769;44666;44364;44437;44238;44032;43904;43747;43846;43850;43933;43917;43908;43892;43888;43891;43900;43879;43926;43926;43941;43948
Bernheze;Bevolking aan het einde van de periode;aantal;28848;28868;29216;29544;29644;29663;29615;29655;29728;29802;29775;29690;29729;29880;30252;30550;30806;31240;31455;31715;32527;32606;32596;32628;32617;32618;32634;32682;32756;32775;32836;32887
Bernisse;Bevolking aan het einde van de periode;aantal;12712;12684;12650;12673;12669;12540;12545;12455;12404;12426;12398;12368;12381;;;;;;;;;;;;;;;;;;;
Best;Bevolking aan het einde van de periode;aantal;28244;28658;28925;29026;29006;29089;29017;28953;28810;28696;28637;28617;28737;28976;29180;29497;29821;29988;30216;30608;31223;31652;31615;31554;31562;31585;31597;31607;31667;31676;31678;31672
Beuningen;Bevolking aan het einde van de periode;aantal;25361;25459;25291;25078;25231;25321;25304;25481;25507;25433;25324;25288;25282;25289;25424;25798;25882;25890;26157;26235;26725;26749;26738;26746;26737;26759;26799;26828;26869;26900;26868;26903
Beverwijk;Bevolking aan het einde van de periode;aantal;36409;36995;36860;36499;36835;37347;38284;38883;39329;39844;40070;40093;40182;40318;40709;41077;41176;41626;41863;42084;42866;43040;43029;43033;42995;43005;42978;43022;43012;43009;43037;43069
het Bildt;Bevolking aan het einde van de periode;aantal;10545;10949;10968;11013;10963;10933;10887;10908;10937;10798;10646;10626;10592;10525;10493;10560;;;;;;;;;;;;;;;;
De Bilt;Bevolking aan het einde van de periode;aantal;42308;42208;42195;42037;42016;41998;41984;42017;42049;42079;42032;42036;42169;42375;42754;42846;42824;43137;43384;43508;43718;43792;43814;43816;43819;43817;43812;43820;43799;43800;43763;43704
Binnenmaas;Bevolking aan het einde van de periode;aantal;19211;19245;19481;19636;19614;28797;28862;28926;28967;28962;28964;28710;28656;28771;29122;29098;29292;;;;;;;;;;;;;;;
Bladel;Bevolking aan het einde van de periode;aantal;19092;19153;19135;19130;19058;19114;19129;19177;19386;19582;19635;19834;19869;19966;20063;20144;20175;20390;20529;20718;20985;21006;21036;21017;21026;21062;21047;21017;21029;21015;20984;21004
Blaricum;Bevolking aan het einde van de periode;aantal;9309;9257;9179;9114;9112;9036;8987;8955;8959;9038;9107;9094;9312;9622;10201;10795;11202;11540;11954;12359;12724;12947;12967;12974;13001;12979;12960;12988;12962;12947;12947;12935
Bleiswijk;Bevolking aan het einde van de periode;aantal;10349;10449;10317;10231;10377;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloemendaal;Bevolking aan het einde van de periode;aantal;17045;16922;17005;16974;17028;16873;16884;22023;22039;22056;22195;22059;22256;22296;22826;23208;23410;23571;23478;23732;23786;23592;23613;23623;23656;23665;23631;23610;23611;23684;23616;23601
Boarnsterhim;Bevolking aan het einde van de periode;aantal;18980;19108;19227;19212;19314;19270;19306;19357;19298;19380;19505;19478;;;;;;;;;;;;;;;;;;;;
Bodegraven;Bevolking aan het einde van de periode;aantal;19562;19478;19415;19361;19366;19423;19470;19447;19432;;;;;;;;;;;;;;;;;;;;;;;
Bodegraven-Reeuwijk;Bevolking aan het einde van de periode;aantal;;;;;;;;;;32834;32817;32910;33208;33451;33733;33948;34462;34872;35278;35752;36569;37209;37178;37137;37124;37138;37144;37149;37185;37196;37228;37264
Boekel;Bevolking aan het einde van de periode;aantal;9372;9396;9412;9407;9503;9646;9692;9772;9865;9967;10062;10089;10119;10254;10414;10502;10588;10785;10959;11030;11293;11465;11499;11488;11495;11508;11521;11549;11552;11567;11606;11619
Ten Boer;Bevolking aan het einde van de periode;aantal;7354;7171;7199;7164;7246;7276;7447;7427;7454;7477;7500;7479;7452;7352;7288;7292;7289;;;;;;;;;;;;;;;
Bolsward;Bevolking aan het einde van de periode;aantal;9446;9388;9412;9503;9599;9730;9823;9905;9974;;;;;;;;;;;;;;;;;;;;;;;
Borculo;Bevolking aan het einde van de periode;aantal;10417;10395;10339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Borger-Odoorn;Bevolking aan het einde van de periode;aantal;26440;26360;26327;26303;26297;26201;26151;26072;25941;25859;25662;25627;25502;25371;25355;25351;25372;25559;25598;25681;26014;26049;26015;26003;25972;25984;26002;26053;26096;26112;26154;26206
Borne;Bevolking aan het einde van de periode;aantal;20651;20600;20503;20547;20521;20764;21106;21330;21557;21586;21770;21884;21992;22343;22795;23124;23210;23312;23668;24007;24639;24741;24755;24797;24809;24864;24903;24929;24975;25011;24994;25041
Borsele;Bevolking aan het einde van de periode;aantal;22351;22318;22397;22415;22387;22531;22551;22618;22707;22676;22683;22579;22568;22612;22688;22716;22800;22739;22818;22847;23121;23125;23117;23112;23109;23124;23146;23162;23156;23156;23148;23147
Boskoop;Bevolking aan het einde van de periode;aantal;15228;15225;15299;15311;15223;15217;15133;15090;15045;15087;15195;15177;;;;;;;;;;;;;;;;;;;;
Boxmeer;Bevolking aan het einde van de periode;aantal;29352;29395;29158;28950;28726;28635;28609;28575;28582;28397;28227;28147;28342;28465;28709;28853;29065;29365;29609;29721;;;;;;;;;;;;
Boxtel;Bevolking aan het einde van de periode;aantal;29513;29512;29520;29676;30001;30241;30281;30276;30280;30284;30436;30320;30337;30406;30655;30672;30747;30801;30824;33129;33979;34241;34277;34285;34260;34264;34271;34304;34293;34318;34355;34331
Breda;Bevolking aan het einde van de periode;aantal;164397;166035;168054;169709;170349;170960;171916;173299;174599;176401;178140;179623;180937;181611;182304;183448;183873;184069;184126;184702;188078;188779;188775;188935;188990;188995;189021;189148;189199;189709;189960;190117
Breukelen;Bevolking aan het einde van de periode;aantal;14416;14457;14416;14571;14630;14674;14657;14614;14736;;;;;;;;;;;;;;;;;;;;;;;
Brielle;Bevolking aan het einde van de periode;aantal;15999;15948;16031;15990;15918;15762;15597;15759;15978;16072;16320;16312;16467;16640;16833;17040;17182;17271;17439;17704;;;;;;;;;;;;
Bronckhorst;Bevolking aan het einde van de periode;aantal;;;;37700;37788;37833;37897;37751;37677;37441;37216;36932;36726;36510;36410;36352;36212;36055;36087;36077;36119;36012;36043;36004;35978;35939;35926;35941;35994;35981;36000;35971
Brummen;Bevolking aan het einde van de periode;aantal;21604;21473;21403;21385;21229;21200;21159;21139;21219;21327;21245;21177;20983;20938;20843;20771;20698;20726;20884;20890;21286;21394;21384;21411;21431;21394;21426;21469;21497;21522;21554;21566
Brunssum;Bevolking aan het einde van de periode;aantal;29942;29595;29777;29623;29590;29742;29532;29448;29375;29199;29081;28958;28656;28448;28358;28241;28103;27821;27670;27674;27770;27534;27570;27543;27537;27529;27514;27501;27525;27540;27554;27530
Bunnik;Bevolking aan het einde van de periode;aantal;14111;14087;14137;14234;14160;14258;14407;14459;14437;14451;14563;14626;14662;14773;15156;15214;15192;15191;15341;15590;16108;16279;16302;16324;16341;16316;16328;16319;16327;16364;16410;16406
Bunschoten;Bevolking aan het einde van de periode;aantal;19396;19450;19487;19468;19475;19611;19753;20000;20111;20200;20316;20492;20647;20823;21020;21266;21576;21866;22019;22325;22619;22684;22692;22707;22733;22746;22779;22813;22803;22844;22836;22867
Buren;Bevolking aan het einde van de periode;aantal;25689;25756;25648;25584;25647;25727;25667;25887;26013;25949;25939;26019;26117;26202;26348;26365;26568;26749;27009;27155;27773;27978;27950;27921;27919;27957;27968;27990;28028;28043;28045;28029
Bussum;Bevolking aan het einde van de periode;aantal;31267;31300;31220;31237;31308;31704;31979;32112;32410;32585;32631;32631;32870;33097;;;;;;;;;;;;;;;;;;
