"ID";"RegioS";"Perioden";"BevolkingAanHetBeginVanDePeriode_1";"BevolkingAanHetEindeVanDePeriode_15"
"22243";"GM1679";"2005JJ00";"10918";"10998"
"22256";"GM1679";"2006JJ00";"10998";"10909"
"22269";"GM1679";"2007JJ00";;
"22282";"GM1679";"2008JJ00";;
"22295";"GM1679";"2009JJ00";;
"22308";"GM1679";"2010JJ00";;
"22321";"GM1679";"2011JJ00";;
"22334";"GM1679";"2012JJ00";;
"22347";"GM1679";"2013JJ00";;
"22360";"GM1679";"2014JJ00";;
"22373";"GM1679";"2015JJ00";;
"22386";"GM1679";"2016JJ00";;
"22399";"GM1679";"2017JJ00";;
"22412";"GM1679";"2018JJ00";;
"22425";"GM1679";"2019JJ00";;
"22438";"GM1679";"2020JJ00";;
"22451";"GM1679";"2021JJ00";;
"22464";"GM1679";"2022JJ00";;
"22477";"GM1679";"2023JJ00";;
"22490";"GM1679";"2024JJ00";;
"22508";"GM0060";"2002JJ00";"3564";"3576"
"22521";"GM0060";"2003JJ00";"3576";"3525"
"22534";"GM0060";"2004JJ00";"3525";"3520"
"22547";"GM0060";"2005JJ00";"3520";"3475"
"22560";"GM0060";"2006JJ00";"3475";"3460"
"22573";"GM0060";"2007JJ00";"3460";"3456"
"22586";"GM0060";"2008JJ00";"3456";"3466"
"22599";"GM0060";"2009JJ00";"3466";"3501"
"22612";"GM0060";"2010JJ00";"3501";"3503"
"22625";"GM0060";"2011JJ00";"3503";"3526"
"22638";"GM0060";"2012JJ00";"3526";"3525"
"22651";"GM0060";"2013JJ00";"3525";"3578"
"22664";"GM0060";"2014JJ00";"3578";"3590"
"22677";"GM0060";"2015JJ00";"3590";"3611"
"22690";"GM0060";"2016JJ00";"3611";"3633"
"22703";"GM0060";"2017JJ00";"3633";"3654"
"22716";"GM0060";"2018JJ00";"3654";"3673"
"22729";"GM0060";"2019JJ00";"3673";"3716"
"22742";"GM0060";"2020JJ00";"3716";"3746"
"22755";"GM0060";"2021JJ00";"3746";"3757"
"22768";"GM0060";"2022JJ00";"3757";"3840"
"22781";"GM0060";"2023JJ00";"3840";"3839"
"22794";"GM0060";"2024JJ00";"3839";"3800"
"22812";"GM0306";"2002JJ00";"7220";"7194"
"22825";"GM0306";"2003JJ00";"7194";"7231"
"22838";"GM0306";"2004JJ00";"7231";"7272"
"22851";"GM0306";"2005JJ00";"7272";"7273"
"22864";"GM0306";"2006JJ00";;
"22877";"GM0306";"2007JJ00";;
"22890";"GM0306";"2008JJ00";;
"22903";"GM0306";"2009JJ00";;
"22916";"GM0306";"2010JJ00";;
"22929";"GM0306";"2011JJ00";;
"22942";"GM0306";"2012JJ00";;
"22955";"GM0306";"2013JJ00";;
"22968";"GM0306";"2014JJ00";;
"22981";"GM0306";"2015JJ00";;
"22994";"GM0306";"2016JJ00";;
"23007";"GM0306";"2017JJ00";;
"23020";"GM0306";"2018JJ00";;
"23033";"GM0306";"2019JJ00";;
"23046";"GM0306";"2020JJ00";;
"23059";"GM0306";"2021JJ00";;
"23072";"GM0306";"2022JJ00";;
"23085";"GM0306";"2023JJ00";;
"23098";"GM0306";"2024JJ00";;
"23116";"GM0307";"2002JJ00";"129720";"131221"
"23129";"GM0307";"2003JJ00";"131221";"132851"
"23142";"GM0307";"2004JJ00";"132851";"134906"
"23155";"GM0307";"2005JJ00";"134906";"136999"
"23168";"GM0307";"2006JJ00";"136999";"139054"
"23181";"GM0307";"2007JJ00";"139054";"141211"
"23194";"GM0307";"2008JJ00";"141211";"143212"
"23207";"GM0307";"2009JJ00";"143212";"144862"
"23220";"GM0307";"2010JJ00";"144862";"146592"
"23233";"GM0307";"2011JJ00";"146592";"148250"
"23246";"GM0307";"2012JJ00";"148250";"149662"
"23259";"GM0307";"2013JJ00";"149662";"150897"
"23272";"GM0307";"2014JJ00";"150897";"152481"
"23285";"GM0307";"2015JJ00";"152481";"153602"
"23298";"GM0307";"2016JJ00";"153602";"154337"
"23311";"GM0307";"2017JJ00";"154337";"155226"
"23324";"GM0307";"2018JJ00";"155226";"156286"
"23337";"GM0307";"2019JJ00";"156286";"157276"
"23350";"GM0307";"2020JJ00";"157276";"157462"
"23363";"GM0307";"2021JJ00";"157462";"158590"
"23376";"GM0307";"2022JJ00";"158590";"160759"
"23389";"GM0307";"2023JJ00";"160759";"161852"
"23402";"GM0307";"2024JJ00";"161852";"163298"
"23420";"GM0362";"2002JJ00";"77256";"78095"
"23433";"GM0362";"2003JJ00";"78095";"78866"
"23446";"GM0362";"2004JJ00";"78866";"79036"
"23459";"GM0362";"2005JJ00";"79036";"78774"
"23472";"GM0362";"2006JJ00";"78774";"78945"
"23485";"GM0362";"2007JJ00";"78945";"78980"
"23498";"GM0362";"2008JJ00";"78980";"79768"
"23511";"GM0362";"2009JJ00";"79768";"80695"
"23524";"GM0362";"2010JJ00";"80695";"81796"
"23537";"GM0362";"2011JJ00";"81796";"83363"
"23550";"GM0362";"2012JJ00";"83363";"84379"
"23563";"GM0362";"2013JJ00";"84379";"85015"
"23576";"GM0362";"2014JJ00";"85015";"87162"
"23589";"GM0362";"2015JJ00";"87162";"88602"
"23602";"GM0362";"2016JJ00";"88602";"89294"
"23615";"GM0362";"2017JJ00";"89294";"89870"
"23628";"GM0362";"2018JJ00";"89870";"90838"
"23641";"GM0362";"2019JJ00";"90838";"91675"
"23654";"GM0362";"2020JJ00";"91675";"90829"
"23667";"GM0362";"2021JJ00";"90829";"92331"
"23680";"GM0362";"2022JJ00";"92331";"94418"
"23693";"GM0362";"2023JJ00";"94418";"95014"
"23706";"GM0362";"2024JJ00";"95014";"95822"
"23724";"GM0363";"2002JJ00";"735526";"736562"
"23737";"GM0363";"2003JJ00";"736562";"739104"
"23750";"GM0363";"2004JJ00";"739104";"742783"
"23763";"GM0363";"2005JJ00";"742783";"743070"
"23776";"GM0363";"2006JJ00";"743079";"742884"
"23789";"GM0363";"2007JJ00";"742884";"747093"
"23802";"GM0363";"2008JJ00";"747093";"755605"
"23815";"GM0363";"2009JJ00";"755605";"767457"
"23828";"GM0363";"2010JJ00";"767457";"779808"
"23841";"GM0363";"2011JJ00";"779808";"790110"
"23854";"GM0363";"2012JJ00";"790110";"799278"
"23867";"GM0363";"2013JJ00";"799278";"810767"
"23880";"GM0363";"2014JJ00";"810937";"821752"
"23893";"GM0363";"2015JJ00";"821752";"833624"
"23906";"GM0363";"2016JJ00";"833624";"844947"
"23919";"GM0363";"2017JJ00";"844947";"854047"
"23932";"GM0363";"2018JJ00";"854047";"862965"
"23945";"GM0363";"2019JJ00";"862965";"872757"
"23958";"GM0363";"2020JJ00";"872757";"873338"
"23971";"GM0363";"2021JJ00";"873338";"882633"
"23984";"GM0363";"2022JJ00";"882633";"918117"
"23997";"GM0363";"2023JJ00";"918117";"931298"
